loan_amnt,term,annual_inc,dti,fico_range_low,emp_length,home_ownership,mort_acc,acc_open_past_24mths,num_actv_rev_tl,mths_since_recent_inq,mths_since_recent_bc,mo_sin_old_rev_tl_op,mo_sin_rcnt_tl,avg_cur_bal,tot_cur_bal,total_bc_limit,verification_status,purpose
14300.0,60.0,48114.58,23.36,669.0,5.0,RENT,0.0,8.0,10.0,7.0,9.0,37.88,1.0,2075.86,25283.43,13856.55,Not Verified,debt_consolidation
20200.0,60.0,115748.67,13.06,719.0,2.0,RENT,0.0,6.0,7.0,0.0,0.0,114.84,0.0,6491.67,115768.78,78097.99,Source Verified,debt_consolidation
12100.0,60.0,35132.22,25.66,681.0,8.0,MORTGAGE,1.0,4.0,6.0,10.0,2.0,181.5,2.0,11091.2,101258.3,18466.79,Source Verified,debt_consolidation
23300.0,60.0,88103.53,16.41,688.0,2.0,MORTGAGE,3.0,3.0,4.0,5.0,75.0,179.44,5.0,50223.37,302716.5,11827.56,Not Verified,debt_consolidation
16100.0,60.0,66094.61,23.62,675.0,10.0,RENT,0.0,5.0,5.0,7.0,17.0,145.63,6.0,5723.34,46063.69,21428.72,Source Verified,debt_consolidation
15000.0,60.0,127819.15,13.67,680.0,3.0,RENT,6.0,5.0,1.0,2.0,93.0,226.33,7.0,12543.87,63112.95,28362.28,Source Verified,debt_consolidation
3000.0,36.0,59000.16,10.45,690.0,2.0,RENT,0.0,3.0,4.0,5.0,4.0,55.5,4.0,2645.61,31676.8,4534.85,Not Verified,debt_consolidation
12000.0,36.0,47634.53,20.79,688.0,10.0,RENT,0.0,12.0,10.0,2.0,1.0,215.3,1.0,1485.34,19610.5,20254.53,Not Verified,debt_consolidation
30800.0,60.0,70656.96,15.21,719.0,10.0,MORTGAGE,4.0,3.0,4.0,10.0,18.0,213.26,10.0,19570.62,158135.64,39718.94,Not Verified,debt_consolidation
30400.0,60.0,88292.87,16.04,644.0,6.0,MORTGAGE,0.0,3.0,6.0,15.0,12.0,184.92,12.0,5483.27,39612.77,37861.71,Not Verified,debt_consolidation
6300.0,36.0,41066.31,26.32,682.0,2.0,MORTGAGE,4.0,8.0,3.0,14.0,4.0,218.53,4.0,22998.44,218252.0,1485.91,Not Verified,debt_consolidation
6000.0,36.0,18565.67,10.49,673.0,,RENT,0.0,6.0,3.0,6.0,23.0,249.23,3.0,836.58,4169.11,3102.2,Not Verified,debt_consolidation
28500.0,36.0,84987.0,7.64,695.0,6.0,MORTGAGE,1.0,3.0,2.0,5.0,23.0,168.39,16.0,45207.19,224836.85,9074.64,Not Verified,debt_consolidation
24200.0,36.0,55902.39,12.32,691.0,0.0,RENT,0.0,1.0,4.0,1.0,14.0,159.33,14.0,3840.08,18681.38,17933.93,Not Verified,debt_consolidation
2500.0,36.0,28066.91,24.73,714.0,6.0,RENT,0.0,0.0,2.0,8.0,53.0,77.49,32.0,3164.2,15905.94,3227.22,Source Verified,debt_consolidation
