loan_amnt,term,annual_inc,dti,fico_range_low,emp_length,home_ownership,mort_acc,acc_open_past_24mths,num_actv_rev_tl,mths_since_recent_inq,mths_since_recent_bc,mo_sin_old_rev_tl_op,mo_sin_rcnt_tl,avg_cur_bal,tot_cur_bal,total_bc_limit,verification_status,purpose
17000.0,60.0,45519.15,7.1,657.0,9.0,OWN,0.0,7.0,17.0,3.0,5.0,55.0,5.0,1536.07,8369.82,8767.38,Not Verified,debt_consolidation
15100.0,60.0,49120.7,30.76,642.0,8.0,RENT,0.0,3.0,10.0,2.0,2.0,62.0,3.0,1399.14,13001.79,85232.6,Source Verified,credit_card
19700.0,36.0,52512.78,30.25,656.0,0.0,RENT,0.0,4.0,8.0,2.0,2.0,31.0,3.0,692.17,4768.61,8832.93,Verified,other
35000.0,60.0,90612.3,25.79,674.0,8.0,RENT,0.0,14.0,10.0,2.0,9.0,12.0,2.0,11722.56,103464.75,10911.88,Not Verified,other
16100.0,60.0,34079.12,28.17,610.0,2.0,RENT,1.0,7.0,9.0,2.0,13.0,135.0,1.0,812.7,8653.59,14142.52,Source Verified,other
24900.0,36.0,65115.41,38.96,702.0,3.0,RENT,0.0,9.0,13.0,9.0,0.0,51.0,1.0,3377.44,30085.17,9246.03,Source Verified,credit_card
11200.0,60.0,23271.89,38.95,642.0,2.0,MORTGAGE,0.0,9.0,16.0,4.0,4.0,12.0,6.0,1830.36,8033.81,2520.6,Source Verified,credit_card
19600.0,36.0,58182.66,34.89,638.0,7.0,MORTGAGE,0.0,12.0,13.0,1.0,15.0,112.0,1.0,2443.54,21022.82,13350.69,Verified,small_business
18700.0,60.0,45891.84,16.74,626.0,4.0,OWN,0.0,8.0,11.0,3.0,12.0,100.0,5.0,1993.42,18019.94,16116.09,Source Verified,small_business
22500.0,60.0,53527.04,18.62,681.0,10.0,RENT,0.0,8.0,4.0,2.0,5.0,119.0,4.0,1063.23,5112.54,4674.63,Source Verified,other
20500.0,60.0,66281.62,35.42,674.0,1.0,RENT,0.0,5.0,2.0,3.0,0.0,192.0,8.0,2948.65,22217.0,4366.34,Source Verified,debt_consolidation
40000.0,60.0,101150.65,22.74,690.0,0.0,RENT,1.0,9.0,16.0,3.0,0.0,95.0,0.0,1818.37,18517.14,22239.33,Verified,credit_card
28100.0,36.0,68364.31,27.87,680.0,10.0,MORTGAGE,0.0,6.0,13.0,0.0,12.0,107.0,5.0,3808.93,41171.46,12079.5,Not Verified,small_business
14500.0,60.0,30912.88,28.63,662.0,0.0,RENT,1.0,8.0,12.0,0.0,10.0,44.0,2.0,8363.08,35465.36,17031.12,Not Verified,credit_card
10000.0,36.0,26807.35,16.04,664.0,1.0,OWN,0.0,5.0,7.0,9.0,14.0,73.0,0.0,3156.72,21238.46,1825.26,Verified,debt_consolidation
22200.0,60.0,59788.0,16.63,681.0,4.0,RENT,1.0,10.0,11.0,1.0,2.0,152.0,0.0,579.3,5536.56,12050.43,Verified,credit_card
