feature,iv,n_bins,missing_share,strength
term,0.2043961929915576,2,0.0,medium
fico_range_low,0.12255014470706013,10,0.0,medium
loan_to_income,0.11779490778393964,10,3.708927109382751e-06,medium
acc_open_past_24mths,0.0855903743150739,9,0.04638940582060476,weak
dti,0.07658110960062639,10,2.874418509771632e-05,weak
avg_cur_bal,0.04990021671594078,7,0.0651732671660737,weak
total_bc_limit,0.04255054821778952,10,0.04638940582060476,weak
mo_sin_rcnt_tl,0.041696356701585766,10,0.06516214038474555,weak
mths_since_recent_inq,0.0388505634679568,9,0.14145940718363548,weak
tot_cur_bal,0.03666845641122592,6,0.06516214038474555,weak
mort_acc,0.03354947366307567,5,0.04638940582060476,weak
num_actv_rev_tl,0.03256144881143718,9,0.06516214038474555,weak
loan_amnt,0.031950755335317556,8,0.0,weak
annual_inc,0.030703236904544424,10,3.708927109382751e-06,weak
mths_since_recent_bc,0.030668618653351354,10,0.05510167560054484,weak
mo_sin_old_rev_tl_op,0.02614401009294563,9,0.0651630676165229,weak
home_ownership_MORTGAGE,0.023893039828749744,2,0.0,weak
home_ownership_RENT,0.022087677712549877,2,0.0,weak
emp_length,0.008703143935581283,3,0.05424213174294539,useless
purpose_small_business,0.0033797760002087468,2,0.0,useless
verification_status_Source Verified,0.003375434904665654,2,0.0,useless
delinq_2yrs,0.0016387991127560081,2,2.6889721543024947e-05,useless
