term,fico_range_low,loan_to_income,acc_open_past_24mths,dti,avg_cur_bal,total_bc_limit,mo_sin_rcnt_tl,mths_since_recent_inq,mort_acc,num_actv_rev_tl,loan_amnt,annual_inc,mths_since_recent_bc,mo_sin_old_rev_tl_op,home_ownership_MORTGAGE
36.0,670.0,0.22727272727272727,6.0,14.4,565.0,6200.0,7.0,7.0,0.0,7.0,5000.0,22000.0,10.0,48.0,0
60.0,715.0,0.36809815950920244,10.0,29.79,9830.0,24900.0,5.0,10.0,7.0,8.0,18000.0,48900.0,6.0,260.0,1
36.0,740.0,0.20107070148540981,5.0,34.57,3737.0,24400.0,11.0,1.0,0.0,6.0,8000.0,39787.0,13.0,225.0,0
36.0,700.0,0.2222222222222222,4.0,21.16,14391.0,19610.0,8.0,,2.0,7.0,12000.0,54000.0,8.0,195.0,1
36.0,680.0,0.07578947368421053,4.0,8.91,1869.0,32800.0,4.0,6.0,0.0,8.0,7200.0,95000.0,4.0,232.0,0
36.0,740.0,0.2057142857142857,4.0,17.22,3482.0,6000.0,13.0,12.0,0.0,5.0,7200.0,35000.0,13.0,80.0,0
36.0,665.0,0.2604015551558057,4.0,22.21,1602.0,11500.0,8.0,10.0,0.0,9.0,8975.0,34466.0,8.0,92.0,0
36.0,690.0,0.14708972473208656,10.0,24.47,11094.0,32800.0,0.0,1.0,0.0,3.0,7000.0,47590.0,1.0,107.0,0
60.0,660.0,0.3987049240344133,6.0,21.86,20401.0,4300.0,6.0,7.0,1.0,3.0,17425.0,43704.0,6.0,160.0,1
36.0,710.0,0.1836734693877551,6.0,30.61,3141.0,22800.0,5.0,0.0,1.0,7.0,11700.0,63700.0,17.0,122.0,1
36.0,680.0,0.2712765957446808,2.0,28.82,11181.0,36900.0,6.0,6.0,1.0,6.0,25500.0,94000.0,7.0,123.0,1
60.0,665.0,0.17055144968732233,5.0,13.43,18658.0,10300.0,0.0,0.0,5.0,9.0,15000.0,87950.0,17.0,208.0,1
36.0,685.0,0.375,5.0,26.3,3809.0,9700.0,3.0,,0.0,2.0,15000.0,40000.0,5.0,129.0,0
60.0,715.0,0.41372462488967343,3.0,34.41,7745.0,9300.0,15.0,23.0,2.0,13.0,30000.0,72512.0,20.0,294.0,1
36.0,685.0,0.08,3.0,12.8,36970.0,6500.0,7.0,1.0,3.0,5.0,8000.0,100000.0,22.0,179.0,1
36.0,670.0,0.047619047619047616,,17.48,,,,,,,3000.0,63000.0,,,1
60.0,705.0,0.24801587301587302,5.0,24.62,25076.0,10000.0,10.0,16.0,3.0,5.0,25000.0,100800.0,42.0,183.0,1
36.0,660.0,0.3193999287749288,3.0,21.42,7050.0,2000.0,7.0,8.0,1.0,3.0,7175.0,22464.0,7.0,24.0,1
36.0,725.0,0.2545454545454545,6.0,22.76,21781.0,2900.0,2.0,9.0,1.0,4.0,28000.0,110000.0,39.0,119.0,0
36.0,695.0,0.24193548387096775,1.0,17.85,18741.0,16400.0,2.0,2.0,4.0,7.0,15000.0,62000.0,26.0,215.0,1
36.0,735.0,0.14583333333333334,6.0,12.1,3306.0,29200.0,5.0,,0.0,5.0,7000.0,48000.0,5.0,157.0,0
60.0,680.0,0.375,6.0,10.2,2466.0,13800.0,4.0,17.0,0.0,7.0,30000.0,80000.0,4.0,130.0,0
36.0,700.0,0.09320388349514563,5.0,8.44,22058.0,34400.0,10.0,12.0,3.0,4.0,9600.0,103000.0,19.0,340.0,1
36.0,725.0,0.18518518518518517,,20.51,,,,,,,25000.0,135000.0,,,0
36.0,675.0,0.13652482269503546,5.0,8.36,615.0,9400.0,1.0,5.0,2.0,8.0,7700.0,56400.0,1.0,86.0,1
36.0,705.0,0.0873015873015873,7.0,33.13,30032.0,37001.0,2.0,2.0,3.0,11.0,11000.0,126000.0,2.0,296.0,1
36.0,695.0,0.22580645161290322,15.0,1.61,15293.0,7500.0,5.0,5.0,2.0,3.0,14000.0,62000.0,17.0,63.0,1
36.0,750.0,0.12903225806451613,1.0,13.92,2926.0,21900.0,12.0,15.0,0.0,3.0,8000.0,62000.0,53.0,133.0,0
60.0,715.0,0.45098039215686275,3.0,31.74,7995.0,40100.0,8.0,8.0,4.0,9.0,23000.0,51000.0,16.0,168.0,1
36.0,665.0,0.14285714285714285,8.0,9.03,1061.0,5000.0,3.0,3.0,0.0,8.0,10000.0,70000.0,26.0,120.0,0
60.0,685.0,0.38,3.0,5.06,714.0,5300.0,16.0,0.0,1.0,3.0,22800.0,60000.0,22.0,123.0,0
36.0,690.0,0.05454545454545454,3.0,14.86,8184.0,39000.0,8.0,17.0,0.0,5.0,6000.0,110000.0,18.0,231.0,0
60.0,660.0,0.23809523809523808,3.0,14.86,19072.0,11300.0,3.0,3.0,1.0,6.0,20000.0,84000.0,29.0,181.0,1
36.0,665.0,0.10666666666666667,6.0,21.26,2548.0,9200.0,3.0,3.0,0.0,7.0,8000.0,75000.0,3.0,209.0,0
36.0,680.0,0.1999612102404965,4.0,11.57,39333.0,4900.0,5.0,0.0,4.0,5.0,25775.0,128900.0,5.0,114.0,1
36.0,750.0,0.10588235294117647,6.0,19.3,,59500.0,,11.0,2.0,,9000.0,85000.0,5.0,,1
36.0,695.0,0.21818181818181817,14.0,28.65,17258.0,4000.0,2.0,3.0,2.0,4.0,19200.0,88000.0,20.0,83.0,1
36.0,710.0,0.15,2.0,29.16,1871.0,5600.0,6.0,,0.0,8.0,6000.0,40000.0,7.0,269.0,0
60.0,700.0,0.3177083333333333,1.0,14.65,2835.0,11500.0,12.0,3.0,2.0,6.0,22875.0,72000.0,12.0,245.0,1
36.0,670.0,0.13090909090909092,3.0,2.47,278.0,17300.0,4.0,3.0,2.0,3.0,7200.0,55000.0,4.0,249.0,0
36.0,670.0,0.04878048780487805,7.0,31.08,3833.0,25600.0,2.0,1.0,0.0,9.0,3000.0,61500.0,6.0,126.0,0
36.0,675.0,0.16,9.0,18.17,10605.0,55000.0,9.0,10.0,6.0,17.0,20000.0,125000.0,9.0,432.0,1
36.0,760.0,0.053763440860215055,10.0,9.65,25472.0,11200.0,3.0,4.0,7.0,2.0,5000.0,93000.0,4.0,108.0,1
36.0,720.0,0.10416666666666667,4.0,14.25,1678.0,7600.0,2.0,1.0,0.0,9.0,5000.0,48000.0,4.0,198.0,0
36.0,680.0,0.09285714285714286,2.0,19.07,13343.0,58500.0,10.0,13.0,3.0,4.0,13000.0,140000.0,93.0,372.0,0
36.0,660.0,0.16,4.0,5.65,2653.0,4100.0,9.0,9.0,0.0,3.0,12000.0,75000.0,14.0,22.0,0
36.0,675.0,0.08759635599159075,4.0,33.31,1406.0,6800.0,6.0,0.0,3.0,5.0,2500.0,28540.0,13.0,448.0,0
36.0,685.0,0.16,6.0,18.36,2294.0,4800.0,3.0,1.0,0.0,3.0,8000.0,50000.0,13.0,136.0,0
36.0,690.0,0.09302325581395349,4.0,9.86,36386.0,43500.0,3.0,20.0,5.0,5.0,12000.0,129000.0,8.0,234.0,1
36.0,660.0,0.17045454545454544,4.0,14.18,2132.0,2500.0,3.0,3.0,0.0,4.0,7500.0,44000.0,17.0,55.0,0
36.0,670.0,0.21333333333333335,1.0,10.58,16023.0,16100.0,10.0,13.0,3.0,4.0,16000.0,75000.0,36.0,178.0,1
60.0,700.0,0.41971153846153847,5.0,30.38,6896.0,11300.0,7.0,,0.0,3.0,21825.0,52000.0,99.0,99.0,0
36.0,735.0,0.13333333333333333,10.0,19.63,2923.0,40700.0,1.0,2.0,0.0,3.0,10000.0,75000.0,1.0,225.0,1
36.0,665.0,0.1987179487179487,4.0,15.28,22730.0,10200.0,2.0,11.0,2.0,5.0,15500.0,78000.0,2.0,137.0,1
36.0,685.0,0.04716981132075472,1.0,7.52,41429.0,0.0,14.0,2.0,5.0,3.0,5000.0,106000.0,,250.0,1
36.0,700.0,0.06306306306306306,3.0,24.93,41695.0,47500.0,8.0,7.0,4.0,6.0,14000.0,222000.0,61.0,255.0,1
36.0,695.0,0.07272727272727272,6.0,24.76,,39200.0,,7.0,1.0,,8000.0,110000.0,7.0,,1
60.0,685.0,0.33541666666666664,8.0,29.14,21760.0,45800.0,9.0,0.0,5.0,11.0,28175.0,84000.0,9.0,304.0,1
36.0,710.0,0.18,6.0,20.24,16728.0,20400.0,2.0,1.0,11.0,7.0,14400.0,80000.0,2.0,249.0,1
36.0,735.0,0.13708333333333333,0.0,27.89,43171.0,35800.0,27.0,,2.0,4.0,8225.0,60000.0,27.0,323.0,1
36.0,700.0,0.34285714285714286,2.0,16.75,4481.0,30000.0,20.0,8.0,0.0,4.0,24000.0,70000.0,20.0,54.0,0
36.0,740.0,0.4,1.0,15.21,10809.0,54800.0,14.0,1.0,1.0,3.0,28000.0,70000.0,85.0,387.0,0
60.0,680.0,0.21,4.0,26.49,26035.0,15500.0,4.0,13.0,2.0,6.0,21000.0,100000.0,24.0,59.0,1
60.0,675.0,0.35909090909090907,10.0,28.32,7084.0,15400.0,1.0,3.0,0.0,6.0,17775.0,49500.0,3.0,94.0,1
36.0,700.0,0.16666666666666666,2.0,11.17,18557.0,3200.0,0.0,0.0,4.0,3.0,15000.0,90000.0,52.0,167.0,0
36.0,720.0,0.47998366013071897,1.0,27.29,14182.0,25800.0,19.0,19.0,4.0,10.0,29375.0,61200.0,19.0,236.0,1
60.0,700.0,0.3353333333333333,5.0,23.75,14875.0,28800.0,3.0,,1.0,5.0,25150.0,75000.0,20.0,235.0,1
60.0,720.0,0.24722222222222223,3.0,20.56,27761.0,48700.0,9.0,2.0,3.0,8.0,22250.0,90000.0,36.0,289.0,1
36.0,695.0,0.07792207792207792,7.0,20.19,,26300.0,,5.0,1.0,,6000.0,77000.0,13.0,,1
36.0,690.0,0.08888888888888889,6.0,17.29,48934.0,40900.0,3.0,5.0,1.0,8.0,20000.0,225000.0,8.0,193.0,1
36.0,675.0,0.26666666666666666,5.0,18.8,5364.0,7500.0,5.0,10.0,0.0,4.0,16000.0,60000.0,16.0,53.0,0
36.0,660.0,0.2830357142857143,4.0,31.91,,11300.0,,0.0,1.0,,15850.0,56000.0,58.0,,1
36.0,745.0,0.3,5.0,27.05,5912.0,82400.0,8.0,11.0,0.0,7.0,19800.0,66000.0,15.0,191.0,1
36.0,680.0,0.28846153846153844,6.0,18.09,5912.0,11000.0,2.0,2.0,1.0,2.0,15000.0,52000.0,6.0,249.0,0
36.0,660.0,0.37037037037037035,8.0,23.69,11186.0,8200.0,6.0,3.0,1.0,6.0,20000.0,54000.0,15.0,51.0,1
60.0,705.0,0.18333333333333332,5.0,20.11,5694.0,58900.0,3.0,5.0,0.0,8.0,22000.0,120000.0,21.0,363.0,1
36.0,660.0,0.12,8.0,20.88,11968.0,3300.0,7.0,6.0,2.0,3.0,3600.0,30000.0,17.0,41.0,1
36.0,715.0,0.22641509433962265,1.0,15.01,14591.0,24500.0,2.0,,1.0,5.0,12000.0,53000.0,2.0,178.0,1
60.0,690.0,0.23529411764705882,3.0,19.12,20251.0,23200.0,6.0,3.0,11.0,7.0,20000.0,85000.0,10.0,199.0,1
60.0,680.0,0.1322314049586777,1.0,6.63,3302.0,28400.0,22.0,0.0,0.0,7.0,16000.0,121000.0,22.0,202.0,1
36.0,700.0,0.21875,9.0,27.23,7433.0,76400.0,0.0,5.0,2.0,13.0,35000.0,160000.0,0.0,179.0,0
36.0,675.0,0.2604166666666667,8.0,26.03,8569.0,12400.0,6.0,6.0,3.0,8.0,25000.0,96000.0,14.0,89.0,1
36.0,700.0,0.1411764705882353,4.0,38.69,9584.0,11200.0,1.0,0.0,2.0,9.0,4800.0,34000.0,5.0,95.0,1
60.0,720.0,0.13333333333333333,4.0,37.39,11528.0,27000.0,2.0,10.0,1.0,6.0,12000.0,90000.0,40.0,286.0,1
36.0,670.0,0.1590909090909091,6.0,32.95,697.0,4000.0,7.0,11.0,2.0,10.0,3500.0,22000.0,8.0,268.0,0
36.0,725.0,0.08333333333333333,6.0,3.25,,27800.0,,4.0,2.0,,10000.0,120000.0,5.0,,1
36.0,660.0,0.06060606060606061,9.0,15.06,28598.0,26100.0,5.0,1.0,3.0,13.0,10000.0,165000.0,5.0,93.0,1
36.0,660.0,0.3111111111111111,3.0,22.08,45313.0,8100.0,1.0,2.0,5.0,3.0,28000.0,90000.0,12.0,148.0,1
36.0,765.0,0.23333333333333334,3.0,19.4,33302.0,34500.0,5.0,5.0,4.0,2.0,21000.0,90000.0,36.0,348.0,1
36.0,675.0,0.38461538461538464,3.0,18.15,3008.0,5700.0,5.0,10.0,0.0,3.0,15000.0,39000.0,18.0,89.0,0
60.0,690.0,0.1736111111111111,8.0,14.57,12566.0,20900.0,3.0,1.0,2.0,14.0,25000.0,144000.0,4.0,410.0,1
36.0,685.0,0.2175805047867711,9.0,24.0,6312.0,65800.0,4.0,,1.0,25.0,25000.0,114900.0,4.0,373.0,1
36.0,665.0,0.41907396858979573,1.0,25.54,2182.0,7500.0,22.0,0.0,0.0,6.0,10300.0,24578.0,28.0,156.0,0
36.0,675.0,0.26666666666666666,5.0,22.09,4733.0,4700.0,3.0,12.0,0.0,4.0,8000.0,30000.0,19.0,31.0,0
36.0,660.0,0.26,7.0,27.75,1935.0,8400.0,2.0,2.0,1.0,5.0,13000.0,50000.0,10.0,372.0,0
36.0,680.0,0.16666666666666666,3.0,38.88,3669.0,9700.0,5.0,22.0,0.0,5.0,5000.0,30000.0,5.0,228.0,0
36.0,700.0,0.26666666666666666,2.0,10.77,63530.0,17000.0,9.0,17.0,2.0,3.0,20000.0,75000.0,52.0,525.0,1
36.0,685.0,0.16,,0.57,,,,,,,6400.0,40000.0,,,0
36.0,670.0,0.2125,1.0,9.18,1066.0,7100.0,10.0,10.0,0.0,7.0,8500.0,40000.0,84.0,94.0,0
36.0,705.0,0.2807017543859649,1.0,13.73,24600.0,8500.0,7.0,9.0,1.0,3.0,16000.0,57000.0,102.0,196.0,1
36.0,665.0,0.13114754098360656,8.0,17.61,1082.0,13200.0,7.0,0.0,0.0,9.0,8000.0,61000.0,14.0,137.0,0
60.0,715.0,0.17647058823529413,0.0,14.4,11284.0,30400.0,37.0,,0.0,3.0,30000.0,170000.0,52.0,200.0,0
36.0,675.0,0.05128205128205128,4.0,27.77,25531.0,1300.0,9.0,3.0,4.0,4.0,4000.0,78000.0,56.0,484.0,1
60.0,670.0,0.3181818181818182,,8.71,,,,,,,35000.0,110000.0,,,1
60.0,685.0,0.1640625,1.0,3.31,73376.0,17000.0,22.0,7.0,4.0,2.0,21000.0,128000.0,22.0,306.0,1
36.0,670.0,0.16666666666666666,3.0,21.13,14114.0,12500.0,8.0,1.0,1.0,5.0,6000.0,36000.0,8.0,71.0,1
