loan_amnt,term,annual_inc,dti,fico_range_low,emp_length,home_ownership,mort_acc,acc_open_past_24mths,num_actv_rev_tl,mths_since_recent_inq,mths_since_recent_bc,mo_sin_old_rev_tl_op,mo_sin_rcnt_tl,avg_cur_bal,tot_cur_bal,total_bc_limit,verification_status,purpose
5000.0,36.0,22000.0,14.4,670.0,0.0,RENT,0.0,6.0,7.0,7.0,10.0,48.0,7.0,565.0,6781.0,6200.0,Not Verified,debt_consolidation
18000.0,60.0,48900.0,29.79,715.0,10.0,MORTGAGE,7.0,10.0,8.0,10.0,6.0,260.0,5.0,9830.0,176934.0,24900.0,Not Verified,debt_consolidation
8000.0,36.0,39787.0,34.57,740.0,7.0,OWN,0.0,5.0,6.0,1.0,13.0,225.0,11.0,3737.0,44839.0,24400.0,Source Verified,debt_consolidation
12000.0,36.0,54000.0,21.16,700.0,1.0,MORTGAGE,2.0,4.0,7.0,,8.0,195.0,8.0,14391.0,143911.0,19610.0,Not Verified,debt_consolidation
7200.0,36.0,95000.0,8.91,680.0,10.0,OWN,0.0,4.0,8.0,6.0,4.0,232.0,4.0,1869.0,26170.0,32800.0,Source Verified,debt_consolidation
7200.0,36.0,35000.0,17.22,740.0,5.0,OWN,0.0,4.0,5.0,12.0,13.0,80.0,13.0,3482.0,20889.0,6000.0,Not Verified,debt_consolidation
8975.0,36.0,34466.0,22.21,665.0,10.0,OWN,0.0,4.0,9.0,10.0,8.0,92.0,8.0,1602.0,17619.0,11500.0,Source Verified,debt_consolidation
7000.0,36.0,47590.0,24.47,690.0,0.0,RENT,0.0,10.0,3.0,1.0,1.0,107.0,0.0,11094.0,288434.0,32800.0,Source Verified,debt_consolidation
17425.0,60.0,43704.0,21.86,660.0,2.0,MORTGAGE,1.0,6.0,3.0,7.0,6.0,160.0,6.0,20401.0,142809.0,4300.0,Source Verified,debt_consolidation
11700.0,36.0,63700.0,30.61,710.0,4.0,MORTGAGE,1.0,6.0,7.0,0.0,17.0,122.0,5.0,3141.0,97377.0,22800.0,Not Verified,debt_consolidation
25500.0,36.0,94000.0,28.82,680.0,0.0,MORTGAGE,1.0,2.0,6.0,6.0,7.0,123.0,6.0,11181.0,234794.0,36900.0,Source Verified,debt_consolidation
15000.0,60.0,87950.0,13.43,665.0,10.0,MORTGAGE,5.0,5.0,9.0,0.0,17.0,208.0,0.0,18658.0,205236.0,10300.0,Source Verified,debt_consolidation
15000.0,36.0,40000.0,26.3,685.0,9.0,RENT,0.0,5.0,2.0,,5.0,129.0,3.0,3809.0,19044.0,9700.0,Source Verified,debt_consolidation
30000.0,60.0,72512.0,34.41,715.0,10.0,MORTGAGE,2.0,3.0,13.0,23.0,20.0,294.0,15.0,7745.0,116181.0,9300.0,Source Verified,debt_consolidation
8000.0,36.0,100000.0,12.8,685.0,2.0,MORTGAGE,3.0,3.0,5.0,1.0,22.0,179.0,7.0,36970.0,295763.0,6500.0,Source Verified,debt_consolidation
3000.0,36.0,63000.0,17.48,670.0,3.0,MORTGAGE,,,,,,,,,,,Not Verified,debt_consolidation
25000.0,60.0,100800.0,24.62,705.0,6.0,MORTGAGE,3.0,5.0,5.0,16.0,42.0,183.0,10.0,25076.0,325984.0,10000.0,Not Verified,debt_consolidation
7175.0,36.0,22464.0,21.42,660.0,0.0,MORTGAGE,1.0,3.0,3.0,8.0,7.0,24.0,7.0,7050.0,35252.0,2000.0,Source Verified,debt_consolidation
28000.0,36.0,110000.0,22.76,725.0,10.0,OWN,1.0,6.0,4.0,9.0,39.0,119.0,2.0,21781.0,283158.0,2900.0,Source Verified,debt_consolidation
15000.0,36.0,62000.0,17.85,695.0,,MORTGAGE,4.0,1.0,7.0,2.0,26.0,215.0,2.0,18741.0,224892.0,16400.0,Not Verified,debt_consolidation
7000.0,36.0,48000.0,12.1,735.0,3.0,RENT,0.0,6.0,5.0,,5.0,157.0,5.0,3306.0,39670.0,29200.0,Not Verified,debt_consolidation
30000.0,60.0,80000.0,10.2,680.0,6.0,RENT,0.0,6.0,7.0,17.0,4.0,130.0,4.0,2466.0,22197.0,13800.0,Source Verified,debt_consolidation
9600.0,36.0,103000.0,8.44,700.0,4.0,MORTGAGE,3.0,5.0,4.0,12.0,19.0,340.0,10.0,22058.0,264700.0,34400.0,Not Verified,debt_consolidation
25000.0,36.0,135000.0,20.51,725.0,5.0,RENT,,,,,,,,,,,Not Verified,debt_consolidation
7700.0,36.0,56400.0,8.36,675.0,1.0,MORTGAGE,2.0,5.0,8.0,5.0,1.0,86.0,1.0,615.0,7382.0,9400.0,Source Verified,debt_consolidation
11000.0,36.0,126000.0,33.13,705.0,3.0,MORTGAGE,3.0,7.0,11.0,2.0,2.0,296.0,2.0,30032.0,420456.0,37001.0,Source Verified,debt_consolidation
14000.0,36.0,62000.0,1.61,695.0,4.0,MORTGAGE,2.0,15.0,3.0,5.0,17.0,63.0,5.0,15293.0,198812.0,7500.0,Not Verified,debt_consolidation
8000.0,36.0,62000.0,13.92,750.0,6.0,RENT,0.0,1.0,3.0,15.0,53.0,133.0,12.0,2926.0,35108.0,21900.0,Source Verified,debt_consolidation
23000.0,60.0,51000.0,31.74,715.0,10.0,MORTGAGE,4.0,3.0,9.0,8.0,16.0,168.0,8.0,7995.0,111931.0,40100.0,Not Verified,debt_consolidation
10000.0,36.0,70000.0,9.03,665.0,10.0,RENT,0.0,8.0,8.0,3.0,26.0,120.0,3.0,1061.0,14850.0,5000.0,Source Verified,debt_consolidation
22800.0,60.0,60000.0,5.06,685.0,6.0,OWN,1.0,3.0,3.0,0.0,22.0,123.0,16.0,714.0,5713.0,5300.0,Not Verified,debt_consolidation
6000.0,36.0,110000.0,14.86,690.0,10.0,RENT,0.0,3.0,5.0,17.0,18.0,231.0,8.0,8184.0,65471.0,39000.0,Not Verified,debt_consolidation
20000.0,60.0,84000.0,14.86,660.0,10.0,MORTGAGE,1.0,3.0,6.0,3.0,29.0,181.0,3.0,19072.0,152573.0,11300.0,Not Verified,debt_consolidation
8000.0,36.0,75000.0,21.26,665.0,2.0,RENT,0.0,6.0,7.0,3.0,3.0,209.0,3.0,2548.0,25477.0,9200.0,Not Verified,debt_consolidation
25775.0,36.0,128900.0,11.57,680.0,0.0,MORTGAGE,4.0,4.0,5.0,0.0,5.0,114.0,5.0,39333.0,432664.0,4900.0,Source Verified,debt_consolidation
9000.0,36.0,85000.0,19.3,750.0,9.0,MORTGAGE,2.0,6.0,,11.0,5.0,,,,,59500.0,Not Verified,debt_consolidation
19200.0,36.0,88000.0,28.65,695.0,10.0,MORTGAGE,2.0,14.0,4.0,3.0,20.0,83.0,2.0,17258.0,207100.0,4000.0,Not Verified,debt_consolidation
6000.0,36.0,40000.0,29.16,710.0,10.0,RENT,0.0,2.0,8.0,,7.0,269.0,6.0,1871.0,18718.0,5600.0,Not Verified,debt_consolidation
22875.0,60.0,72000.0,14.65,700.0,4.0,MORTGAGE,2.0,1.0,6.0,3.0,12.0,245.0,12.0,2835.0,25517.0,11500.0,Not Verified,debt_consolidation
